"STASLIST","LOC","STA","STA2","STATION","NAME","LHOLD","HOLDCERT","NEARTOWN","COUNTY","STATE","REGION","LATITUDE","LONGITUDE","PRECISION","SOURCE","DATUM","DECLAT","DECLNG","NAD83","ELEV","STRATUM","BCR","HABITAT","D89","D90","D91","D92","D93","D94","D95","D96","D97","D98","D99","D00","D01","D02","D03","D04","D05","D06","Y07","D07","Y08","D08","Y09","D09","Y10","D10","Y11","D11","Y12","D12","Y13","D13","Y14","D14","Y15","D15","Y16","D16","Y17","D17","Y18","D18","HISTORY","YRSOP"
"12283 - SLOB - OSFL - Oso Flaco","SLOB",12283,"12283U","OSFL","Oso Flaco","C","+","Guadalupe","San Luis Obispo","CA","2","35 01 50","-120 37 25","05S","-","-",35.03056,-120.62361,"-",15,92,32,"riparian woodland/dune scrub",,,,,,,,,,,"X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99-01",3
"12284 - INYO - TUTT - Tuttle Creek","INYO",12284,"12284U","TUTT","Tuttle Creek","IB","+","Lone Pine","Inyo","CA","2","36 33 32","-118 10 16","01S","-","-",36.55889,-118.17111,"-",1925,80,9,"big sage shrub/willow/birch rip.",,,,,,,,,,"X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98-00",3
"12285 - INYO - INDE - Independence Creek","INYO",12285,"12285U","INDE","Independence Creek","AF","+","Independence","Inyo","CA","2","36 46 56","-118 17 17","01S","-","-",36.78222,-118.28806,"-",1820,80,9,"black oak frst/willow/birch rip.",,,,,,,,,,"X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98-00",3
"12286 - INYO - BAIR - Bair's Creek","INYO",12286,"12286U","BAIR","Bair's Creek","IB","+","Independence","Inyo","CA","2","36 40 53","-118 14 02","01S","-","-",36.68139,-118.23389,"-",1800,80,9,"big sage shrub/willow/birch rip.",,,,,,,,,,"X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98-00",3
"12287 - INYO - TABO - Taboose Creek","INYO",12287,"12287U","TABO","Taboose Creek","IB","+","Independence","Inyo","CA","2","37 00 15","-118 18 06","01S","-","-",37.00417,-118.30167,"-",1435,80,9,"big sage shrub/willow/birch rip.",,,,,,,,,,"X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98-00",3
"12288 - ATCK - ATCK - Atascadero Creek","ATCK",12288,"12288U","ATCK","Atascadero Creek","C","+","Goleta","Santa Barbara","CA","2","34 25 20","-119 48 10","10S","-","-",34.42222,-119.80278,"-",10,92,32,"riparian corridor w/marsh & woods",,,,,,,,,,,"X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99-02",4
"12289 - SBNE - FDAM - Figueroa Dam","SBNE",12289,"12289U","FDAM","Figueroa Dam","S","+","Santa Ynez","Santa Barbara","CA","2","34 43 31","-120 02 04","01S","-","-",34.72528,-120.03444,"-",410,92,32,"mulefat willow and tobacco tree",,,,,,,,,"X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97-00",4
"12290 - SBNE - FIGM - Figueroa Mountain","SBNE",12290,"12290U","FIGM","Figueroa Mountain","AF","+","Los Olivos","Santa Barbara","CA","2","34 44 30","-119 59 01","01S","-","-",34.74167,-119.98361,"-",1901,92,32,"montane ponderosa pine and scrub oak",,,,,,,,,,"X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98-00",3
"12291 - STAR - STAR - Starr Ranch Sanctuary","STAR",12291,"12291U","STAR","Starr Ranch Sanctuary","P","+","Mission Viejo","Orange","CA","2","33 36 40","-117 33 48","01S","Web - Google E.","NAD83",33.61111,-117.56333,"x",236,90,32,"oak-sycamore woods/sagebr. flats",,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,"X","X","X","X","X","X","X","X","99-13,15-19,22-",21
"12292 - NROC - IRPA - Irvine Park","NROC",12292,"12292U","IRPA","Irvine Park","C","+","Orange Park Acres","Orange","CA","2","33 47 35","-117 44 07","01S","CALTOPO","NAD83",33.79306,-117.73528,"-",223,90,32,"coastal sage scrub/live oak woodland",,,,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"99-03",5
"12293 - NROC - UPLA - Upper Laurel Canyon","NROC",12293,"12293U","UPLA","Upper Laurel Canyon","C","+","Laguna Beach","Orange","CA","2","33 35 48","-117 46 33","01S","CALTOPO","NAD83",33.59667,-117.77583,"-",195,90,32,"coastal sage scrub/live oak woodland",,,,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"99-03",5
"12294 - NROC - UPWO - Upper Wood Canyon","NROC",12294,"12294S","UPWO","Upper Wood Canyon","C","+","Laguna Hills","Orange","CA","2","33 35 30","-117 44 41","01S","CALTOPO","NAD83",33.59167,-117.74472,"-",140,90,32,"coastal sage scrub",,,,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"99-03",5
"12295 - NROC - UPWE - Upper Weir Canyon","NROC",12295,"12295U","UPWE","Upper Weir Canyon","C","+","Anaheim","Orange","CA","2","33 50 20","-117 44 22","01S","CALTOPO","NAD83",33.83889,-117.73944,"-",329,90,32,"coastal sage scrub/grassland",,,,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"99-03",5
"12296 - SNLN - GACO - Gardner's Cove","SNLN",12296,"12296U","GACO","Gardner's Cove","IW","+","Modesto","Stanislaus","CA","2","37 38 12","-121 12 34","01S","-","-",37.63667,-121.20944,"-",28,91,32,"oak woodland/cottonwoods&willows",,,,,,,,,,,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"99-04",6
"12297 - UTAH - MONT - Monticello","UTAH",12297,"12297U","MONT","Monticello","IB","+","Monticello","San Juan","UT","2","37 27 19","-109 04 02","01S","GPS","NAD27",37.45528,-109.06778,"x",1519,87,16,"cottonwood-willow riparian/russian olive",,,,,,,,,,"X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,"98-05",8
"12298 - UTAH - MOAB - Moab, TNC Land on CO Riv.","UTAH",12298,"12298U","MOAB","Moab, TNC Land on CO Riv.","P","+","Moab","Grand","UT","2","38 34 31","-109 34 14","01S","GPS","NAD27",38.57528,-109.57111,"x",1207,87,16,"cottonwood-willow riparian/russian olive",,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X",,,"X","X","X","X",,,,,,,,,,,,,,,,,"98-07,09-10",12
"12299 - LANL - LANL - Los Alamos","LANL",12299,"12299U","LANL","Los Alamos","DE","+","Los Alamos","Los Alamos","NM","2","35 50 21","-106 18 32","01S","-","NAD83",35.83917,-106.30889,"x",2195,62,16,"ponderosa/mixed conifer",,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,"97-14",18
"12300 - LBWA - OFWA - O'Neill Forebay Wildl. Ar","LBWA",12300,"12300U","OFWA","O'Neill Forebay Wildl. Ar","S","+","Santa Nella","Merced","CA","2","37 04 48","-121 01 16","01S","-","NAD27",37.08,-121.02222,"x",32,91,32,"grassland/deciduous woodland",,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,"X",,,,,,,,,,,,,,,,,,"99-08,10",11
"12301 - LBWA - LBWA - Los Banos Wildlife Area","LBWA",12301,"12301U","LBWA","Los Banos Wildlife Area","S","+","Los Banos","Merced","CA","2","37 09 32","-120 47 34","01S","-","NAD27",37.15889,-120.79389,"x",36,91,32,"willow rip. corridor/grassl/agri.",,,,,,,,,,"X",,"X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,"98,00-06",8
"12302 - LCRI - HERO - Headgate Rock","LCRI",12302,"12302U","HERO","Headgate Rock","II","+","Parker","La Paz","AZ","2","34 10 19","-114 17 00","01S","-","-",34.17194,-114.28333,"-",110,82,33,"salt cedar/mesquite/arrowweed",,,,,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"00-04",5
"12303 - SNLN - CISL - Christman Island","SNLN",12303,"12303S","CISL","Christman Island","IW","+","Vernalis","Stanislaus","CA","2","37 36 52","-121 11 04","01S","-","-",37.61444,-121.18444,"-",30,91,32,"cottonwood-willow-valley oak rip.",,,,,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"00-04",5
"12304 - EDRP - EDRP - Ernest Debs Regional Park","EDRP",12304,"12304U","EDRP","Ernest Debs Regional Park","P","?","Los Angeles","Los Angeles","CA","2","34 06 57","-118 11 54","01S","-","-",34.11583,-118.19833,"-",155,90,32,"ca black walnut/live oak woodland",,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",1
"12307 - ATCK - GOSL - Goleta Slough","ATCK",12307,"12307U","GOSL","Goleta Slough","S",,"Isla Vista","Santa Barbara","CA","2","34 25 10","-119 50 40","10S","-","-",34.41944,-119.84444,"-",3,92,32,"meadow shrubland/deciduous woodla",,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",1
"12308 - NROC - EMCA - Emerald Canyon","NROC",12308,"12308U","EMCA","Emerald Canyon","P","+","Laguna Beach","Orange","CA","2","33 34 15","-117 46 51","01S","CALTOPO","NAD83",33.57083,-117.78083,"-",264,90,32,"coastal sage scrub in steep canyon",,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01-02",2
"12309 - NROC - RNDC - Round Canyon","NROC",12309,"12309U","RNDC","Round Canyon","P","+","Irvine","Orange","CA","2","33 42 20","-117 41 34","01S","-","-",33.70556,-117.69278,"-",217,90,32,"coastal sage scrub/oak woodland",,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01-02",2
"12310 - NROC - SYHI - Sycamore Hills","NROC",12310,"12294S","SYHI","Sycamore Hills","C","+","Laguna Woods","Orange","CA","2","33 36 04","-117 45 07","01S","-","-",33.60111,-117.75194,"-",186,90,32,"coastal sage scrub",,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01-02",2
"12311 - NROC - WHRA - Whiting Ranch","NROC",12311,"12311U","WHRA","Whiting Ranch","C","+","Lake Forest","Orange","CA","2","33 40 59","-117 38 51","01S","-","-",33.68306,-117.6475,"-",276,90,32,"coastal sage scrub/oak woodland",,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01-02",2
"12312 - UTTR - GNVA - UTTR - Geneva","UTTR",12312,"12312U","GNVA","UTTR - Geneva","DO","+","Delle","Boxelder","UT","2","41 09 02","-112 57 32","01S","Web - Google E.","NAD83",41.15056,-112.95889,"x",1286,80,9,"greasewood/shadscale",,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99-00",2
"12313 - RERA - GAWA - Garden Wash","RERA",12313,"12313U","GAWA","Garden Wash","IB","+","Sierra Vista","Cochise","AZ","2","31 32 32","-110 07 58","01S","GPS-Garmin 60Sx","NAD83",31.54222,-110.13278,"x",1250,81,34,"cotton-willow riparian w/small pond",,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","00-19",20
"12314 - FALL - FALL - Nav. Weap. Sta. Det. Fall","FALL",12314,"12314U","FALL","Nav. Weap. Sta. Det. Fall","DN","+","Fallbrook","San Diego","CA","2","33 21 14","-117 18 15","01S","GPS","NAD27",33.35389,-117.305,"x",95,90,32,"cottonwood-willow riparian/scrub",,,,,,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,"01-05",5
"12315 - SMMO - SOLS - Solstice Canyon","SMMO",12315,"12315U","SOLS","Solstice Canyon","P","?","Malibu","Los Angeles","CA","2","34 02 16","-118 44 47","01S","-","-",34.03778,-118.74639,"-",59,90,32,"riparian w costal scrub&chaparral",,,,,,,,,,,,,"X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,"01-07",7
"12316 - SFBB - GREG - Great Egret","SFBB",12316,"12316S","GREG","Great Egret","C","+","San Jose","Santa Clara","CA","2","37 23 04","-121 56 06","01S","-","-",37.38444,-121.935,"-",2,92,32,"riparian corridor in urban area",,,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",1
"12317 - SFBB - RSHA - Red-shouldered Hawk","SFBB",12317,"12317S","RSHA","Red-shouldered Hawk","C","+","San Jose","Santa Clara","CA","2","37 24 19","-121 55 22","01S","-","-",37.40528,-121.92278,"-",2,92,32,"riparian corridor in urban area",,,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",1
"12318 - SFBB - SSHA - Sharp-shinned Hawk","SFBB",12318,"12316S","SSHA","Sharp-shinned Hawk","C","+","San Jose","Santa Clara","CA","2","37 23 31","-121 56 21","01S","-","-",37.39194,-121.93917,"-",2,92,32,"riparian corridor in urban area",,,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",1
"12319 - SFBB - TUVU - Turkey Vulture","SFBB",12319,"12317S","TUVU","Turkey Vulture","C","+","San Jose","Santa Clara","CA","2","37 24 01","-121 55 00","01S","-","-",37.40028,-121.91667,"-",2,92,32,"riparian corridor in urban area",,,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",1
"12320 - SFBB - WTKI - White-tailed Kite","SFBB",12320,"12317S","WTKI","White-tailed Kite","C","+","San Jose","Santa Clara","CA","2","37 24 57","-121 55 44","01S","-","-",37.41583,-121.92889,"-",2,92,32,"riparian corridor in urban area",,,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",1
"12321 - LAME - VIRI - Virgin River","LAME",12321,"12321U","VIRI","Virgin River","IP","+","Overton","Clark","NV","2","36 34 18","-114 20 28","01S","-","-",36.57167,-114.34111,"-",380,83,33,"tamarisk-willow riparian corridor",,,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"02-03",2
"12324 - CARR - DELT - Delta (Carson River)","CARR",12324,"12324U","DELT","Delta (Carson River)","S","+","Silver Springs","Lyon","NV","2","39 19 30","-119 09 06","01S","-","-",39.325,-119.15167,"-",1268,80,9,"cottonwood-willow riparian corridor",,,,,,,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,"02-06",5
"12325 - GILA - GILA - Gila River Farm","GILA",12325,"12325U","GILA","Gila River Farm","P","+","Gila","Grant","NM","2","33 00 53","-108 33 03","01S","-","NAD83",33.01472,-108.55083,"x",1397,84,34,"cottonwood-willow riparian corridor",,,,,,,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,"02-06",5
"12326 - CLCR - PRAR - Project Area","CLCR",12326,"12326U","PRAR","Project Area","IB","+","Redding","Shasta","CA","2","40 30 14","-122 24 10","01S","GPS","NAD83",40.50389,-122.40278,"x",107,92,32,"cottonwood-willow riparian",,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"99-08",10
"12327 - CLCR - SADA - Saeltzer Dam","CLCR",12327,"12327U","SADA","Saeltzer Dam","IB","+","Redding","Shasta","CA","2","40 29 37","-122 28 43","01S","GPS","NAD83",40.49361,-122.47861,"x",152,92,32,"cottonwood-willow riparian",,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"01-08",8
"12329 - LCRI - CRLM - CO River Delta/ Lake Mead","LCRI",12329,"12329U","CRLM","CO River Delta/ Lake Mead","IP","+","Meadview","Mohave","AZ","2","36 08 02","-113 52 50","01S","-","-",36.13389,-113.88056,"-",360,83,33,"willow & salt cedar along CO river",,,,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02",1
"12330 - FHLG - FHL2 - Fort Hunter Liggett #2","FHLG",12330,"12330U","FHL2","Fort Hunter Liggett #2","DA","+","Jolon","Monterey","CA","2","35 53 39","-121 04 25","01S","GPS","NAD27",35.89417,-121.07472,"x",240,92,32,"cottonwood-willow riparian corridor",,,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","03-",20
"12332 - SNLA - SNLA - Coyote Spring","SNLA",12332,"12332U","SNLA","Coyote Spring","DE","+","Albuquerque","Bernalillo","NM","2","35 00 46","-106 27 59","01S","Web - Google E","NAD83",35.01278,-106.46639,"x",1832,84,16,"open pinyon-juniper woodland",,,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","03-18,21-",18
"12333 - LECE - LECE - Lewis Center","LECE",12333,"12333U","LECE","Lewis Center","S","+","Apple Valley","San Bernardino","CA","2","34 31 54","-117 17 00","01S","-","-",34.53167,-117.28333,"-",885,83,33,"cottonwood-willow riparian corridor",,,,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"03-04",2
"12334 - RERA - EMPI - Empire Canyon","RERA",12334,"12334U","EMPI","Empire Canyon","IB","+","Sonoita","Pima","AZ","2","31 47 16","-110 38 13","01S","GPS","NAD83",31.78778,-110.63694,"x",1384,81,34,"young cotton-willow riparian w/ mesquite",,,,,,,,,,,,,,"X","X","X","X","X",,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,"X","X","02-06,08-16,18-19",16
"12335 - STRT - FLAC - Florida Canyon","STRT",12335,"12335U","FLAC","Florida Canyon","AF","+","Madera Canyon","Pima","AZ","2","31 45 54","-110 50 47","01S","-","-",31.765,-110.84639,"-",4250,81,34,"cottonwd-mequite ripar./mesquite grassl.",,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,"00-09",10
"12336 - BGSR - SCBR - Schulte Bridge","BGSR",12336,"12336S","SCBR","Schulte Bridge","P","+","Carmel","Monterey","CA","2","36 31 30","-121 49 50","01S","GPS","NAD83",36.525,-121.83056,"x",30,92,32,"restored cottonwood-willow coastal rip.",,,,,,,,,,,,,,,"X","X",,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"03-04,06-08",5
"12337 - BGSR - CMID - Carmel Middle School","BGSR",12337,"12337U","CMID","Carmel Middle School","C","+","Carmel","Monterey","CA","2","36 32 38","-121 53 59","01S","GPS","NAD83",36.54389,-121.89972,"x",18,92,32,"coastal scrub/restored willow riparian",,,,,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"03",1
"12338 - BGSR - RASC - Rancho San Carlos","BGSR",12338,"12338U","RASC","Rancho San Carlos","P","+","Carmel","Monterey","CA","2","36 32 12","-121 52 16","01S","GPS","NAD83",36.53667,-121.87111,"x",16,92,32,"cottonwd-will. coastal rip. near uburban",,,,,,,,,,,,,,,"X","X",,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"03-04,06-08",5
"12339 - BGSR - REDR - Red Rocks","BGSR",12339,"12336S","REDR","Red Rocks","P","+","Carmel","Monterey","CA","2","36 31 22","-121 49 03","01S","GPS","NAD83",36.52278,-121.8175,"x",30,92,32,"restored cottonwood-willow coastal rip.",,,,,,,,,,,,,,,"X","X",,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"03-04,06-08",5
"12340 - UTAH - INCR - Indian Creek","UTAH",12340,"12340U","INCR","Indian Creek","IB","+","Monticello","San Juan","UT","2","37 58 19","-109 31 08","01S","GPS","NAD27",37.97194,-109.51944,"x",1932,87,16,"cottonwd-will riparian with oak&juniper",,,,,,,,,,,,,,"X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,"02-05",4
"12341 - LLNL - S300 - Elk Ravine","LLNL",12341,"12341U","S300","Elk Ravine","DE","+","Tracy","San Joaquin","CA","2","37 39 16","-121 31 13","01S","Web - topozone","NAD83",37.65444,-121.52028,"x",280,91,32,"willow/elderberry riparian",,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"02-08",7
"12342 - LCRI - CIBO - Cibola NWR - Nat. Trail R","LCRI",12342,"12342U","CIBO","Cibola NWR - Nat. Trail R","IW","+","Cibola","La Paz","AZ","2","33 21 57","-114 40 43","01S","-","NAD83",33.36583,-114.67861,"x",70,82,33,"restoration cottonwood, willow, mesquite",,,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","03-19,21",18
"12343 - COCO - 00E3 - Plot E3","COCO",12343,"12226S","00E3","Plot E3","AF","+","Happy Jack","Coconino","AZ","2","34 25 56","-111 10 41","01S","GPS","NAD83",34.43222,-111.17806,"x",2212,84,34,"conifer dominated snow melt drainage",,,,,,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,"04",1
"12344 - COCO - 00E4 - Plot E4","COCO",12344,"12226S","00E4","Plot E4","AF","+","Happy Jack","Coconino","AZ","2","34 25 33","-111 10 35","01S","GPS","NAD83",34.42583,-111.17639,"x",2212,84,34,"conifer dominated snow melt drainage",,,,,,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,"04",1
"12346 - VAFB - BARK - Barka Slough","VAFB",12346,"12346U","BARK","Barka Slough","DO","+","Lompoc","Santa Barbara","CA","2","34 45 51","-120 27 31","01S","-","NAD83",34.76417,-120.45861,"x",84,92,32,"willow riparian",,,,,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,"04-05",2
"12347 - PALO - PALO - Palomarin","PALO",12347,"12347S","PALO","Palomarin","IP","+","Bolinas","Marin","CA","2","37 55 50","-122 44 24","01S","GPS","NAD83",37.93056,-122.74,"x",60,93,32,"mixed evergreen forest & coastal scrub","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","89-",34
"12348 - PALO - PGUP - Palomarin Grid (Uppers)","PALO",12348,"12347S","PGUP","Palomarin Grid (Uppers)","IP","+","Bolinas","Marin","CA","2","37 55 54","-122 44 32","01S","GPS","NAD83",37.93167,-122.74222,"x",122,93,32,"coastal scrub/douglas fir",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","92-",31
"12349 - PALO - PIGU - Pine Gulch Creek","PALO",12349,"12349U","PIGU","Pine Gulch Creek","C","+","Bolinas","Marin","CA","2","37 55 09","-122 41 25","01S","GPS","NAD83",37.91917,-122.69028,"x",1,93,32,"mixed forest/deciduous woodland",,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","94-19,21-",28
"12350 - PALO - MUHO - Muddy Hollow","PALO",12350,"12350S","MUHO","Muddy Hollow","IP","+","Point Reyes Station","Marin","CA","2","38 02 54","-122 52 12","01S","GPS","NAD83",38.04833,-122.87,"x",10,93,32,"mixed forest/deciduous woodland",,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","96-",27
"12351 - PALO - COTR - Coast Trail","PALO",12351,"12350S","COTR","Coast Trail","IP","+","Point Reyes Station","Marin","CA","2","38 02 36","-122 51 31","01S","GPS","NAD83",38.04333,-122.85861,"x",10,93,32,"mixed forest/deciduous woodland",,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96-97",2
"12352 - PALO - LACR - Lagunitas Creek","PALO",12352,"12352U","LACR","Lagunitas Creek","IP","+","Olema","Marin","CA","2","38 03 37","-122 46 16","01S","GPS","NAD83",38.06028,-122.77111,"x",37,93,32,"red alder-willow riparian",,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,"02-16",15
"12353 - PALO - REDC - Redwood Creek","PALO",12353,"12353U","REDC","Redwood Creek","IP","+","Muir Beach","Marin","CA","2","37 52 01","-122 34 46","01S","GPS","NAD83",37.86694,-122.57944,"x",11,93,32,"red alder-willow riparian -active resto.",,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","02-",21
"12354 - LIVE - LIVE - Livermore Marsh","LIVE",12354,"12354U","LIVE","Livermore Marsh","P","+","Marshall","Marin","CA","2","38 10 13","-122 53 58","01S","Web - Google E","NAD83",38.17028,-122.89944,"x",6,93,32,"coastal willow riparian",,,,,,,,,,,,,,,"X","X","X",,,,,,,,,,,,,,,,,,"X","X","X","X",,,"X","X","03-05,15-16,18-19",7
"12355 - CARO - NANG - Nacimiento River NG","CARO",12355,"12355U","NANG","Nacimiento River NG","DG","+","Bradley","Monterey","CA","2","35 48 40","-120 45 32","01S","GPS","NAD83",35.81111,-120.75889,"x",164,92,32,"cottonwood- willow ripiarian corridor",,,,,,,,,,,,,,,,"X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"04-08",5
"12356 - CARO - SANG - Salinas River NG","CARO",12356,"12356U","SANG","Salinas River NG","DG","+","Bradley","Monterey","CA","2","35 51 35","-120 46 46","01S","GPS","NAD83",35.85972,-120.77944,"x",150,92,32,"cottonwood- willow riparian corridor",,,,,,,,,,,,,,,,"X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"04-08",5
"12357 - BRSJ - LOLI - Lost Lake Island","BRSJ",12357,"12357U","LOLI","Lost Lake Island","S","+","Fresno","Fresno","CA","2","36 59 14","-119 43 09","01S","-","-",36.98722,-119.71917,"-",91,92,32,"mixed-willow-cottonwood riparian",,,,,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,"04-05",2
"12358 - BRSJ - WUNI - Willow Unit","BRSJ",12358,"12358U","WUNI","Willow Unit","S","+","Fresno","Fresno","CA","2","36 56 01","-119 45 09","01S","-","-",36.93361,-119.7525,"-",128,92,32,"valley oak-black willow riparian",,,,,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,"04-05",2
"12359 - MOKE - NAKA - Nakagawa","MOKE",12359,"12359U","NAKA","Nakagawa","P","+","Lodi","San Joaquin","CA","2","38 09 19","-121 13 01","01S","-","NAD83",38.15528,-121.21694,"x",15,91,32,"cottonwood-willow rip/borders agri.",,,,,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,"04-05",2
"12360 - MOKE - WRPA - Woodbridge Regional Park","MOKE",12360,"12360U","WRPA","Woodbridge Regional Park","C","+","Woodbridge","San Joaquin","CA","2","38 09 37","-121 18 51","01S","-","-",38.16028,-121.31417,"-",9,91,32,"cottonwd-willow-boxelder rip in suburbia",,,,,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,"04-05",2
"12361 - ARIV - VTRA - Valenzuela Tract","ARIV",12361,"12361U","VTRA","Valenzuela Tract","IW","+","Arivaca","Pima","AZ","2","31 34 31","-111 20 12","01S","-","NAD83",31.57528,-111.33667,"x",1103,81,34,"cottonwd-willow-mesquite-hackberry ripar",,,,,,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,"05-06",2
